1-good,CO060100S0740W0SN310ASENW,39.1382239034692,-105.70885514151311
2-good,NM230160S0290E0SN110ANENW,32.94165043681825,-104.04761170791392
3-good,NM230160S0290E0SN060ASWSE,32.9453010531397,-104.11209984274979
4-good,NM230160S0270E0SN020L6,32.961572649004985,-104.2510132776071
5-good,NM230160S0270E0SN060ANESE,32.95033113130126,-104.31135499747062
OC000003,NM230100N0050E0SN280L12,35.065492480260495,-106.40640342805985
OC000004,NM230100N0050E0SN280L12,35.065492480260495,-106.40640342805985
OC000010,NM230100N0050E0SN280L5,35.069007554318596,-106.40208217569172
OC000011,NM230100N0050E0SN280L5,35.069007554318596,-106.40208217569172
OC000012,NM230100N0050E0SN280L5,35.069007554318596,-106.40208217569172
OC000013,NM230100N0050E0SN280L5,35.069007554318596,-106.40208217569172
OC000014,NM230100N0050E0SN280L5,35.069007554318596,-106.40208217569172
OC000015,NM230100N0050E0SN280L5,35.069007554318596,-106.40208217569172
OC000016,NM230100N0050E0SN330L1,35.05492542540124,-106.40252075881811
OC000017,NM230100N0050E0SN340L1,35.05500618410082,-106.3854924003668
OC000018,NM230100N0050E0SN340L1,35.05500618410082,-106.3854924003668
OC000019,NM230100N0050E0SN340L1,35.05500618410082,-106.3854924003668
OC000020,NM230100N0050E0SN340L1,35.05500618410082,-106.3854924003668
OC000021,NM230100N0050E0SN340L1,35.05500618410082,-106.3854924003668
OC000022,NM230100N0050E0SN340L1,35.05500618410082,-106.3854924003668
OC000023,NM230100N0050E0SN340L1,35.05500618410082,-106.3854924003668
